
Lmod is automatically replacing "cce/15.0.0" with "gcc/11.2.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-gnu/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Node summary for    1 nodes:
Node    0, hostname nid003101, mpi   1, omp   8, executable xthi_mpi_mp
MPI summary: 1 ranks 
Node    0, rank    0, thread   0, (affinity = 0,128) 
Node    0, rank    0, thread   1, (affinity = 0,128) 
Node    0, rank    0, thread   2, (affinity = 1,129) 
Node    0, rank    0, thread   3, (affinity = 1,129) 
Node    0, rank    0, thread   4, (affinity = 2,130) 
Node    0, rank    0, thread   5, (affinity = 2,130) 
Node    0, rank    0, thread   6, (affinity = 3,131) 
Node    0, rank    0, thread   7, (affinity = 3,131) 
 WARNING: No physical constants found! PS3D uses default values.
 Warning: Read the last time step.
Found x-vorticity field input, reading ... done
Found y-vorticity field input, reading ... done
Found z-vorticity field input, reading ... done
 Hyperviscosity nu =  1.3548293E-07
 At time   4.0979716782344529      and time step   4.1836790015687395E-002
 At time   4.1398084682501404      and time step   4.1822002874295126E-002
 At time   4.1816304711244356      and time step   4.1826904810713952E-002
 At time   4.2234573759351495      and time step   4.1851973859361874E-002
 At time   4.2653093497945109      and time step   4.1897873570619075E-002
 At time   4.3072072233651300      and time step   4.1965493348686732E-002
 At time   4.3491727167138166      and time step   4.2055519408128413E-002
 At time   4.3912282361219450      and time step   4.2168759137321585E-002
 At time   4.4333969952592662      and time step   4.2306257693026428E-002
 At time   4.4757032529522931      and time step   4.2468844076150085E-002
 At time   4.5181720970284429      and time step   4.2657544601380430E-002
 At time   4.5608296416298231      and time step   4.2681827141296175E-002
 At time   4.6035114687711189      and time step   4.2275340923369632E-002
 At time   4.6457868096944885      and time step   4.1869390895694011E-002
